time,latitude,longitude,z,centroid
1,31.25,-7.00,5941.9,-1
1,31.25,50.25,5912.0,-1
1,31.25,55.00,5915.9,-1
1,31.00,-8.50,5937.5,-1
1,31.00,-7.75,5939.0,-1
1,31.00,53.25,5917.0,-1
1,30.75,-9.25,5933.5,-1
1,30.75,51.00,5912.7,-1
1,30.75,57.25,5912.7,-1
1,30.75,113.75,5891.5,-1
1,30.50,117.00,5891.2,-1
1,30.50,120.00,5885.5,-1
1,30.25,-8.00,5936.4,-1
1,30.25,51.75,5914.2,-1
1,30.25,111.75,5890.8,-1
1,30.25,112.50,5891.0,-1
1,29.75,109.25,5890.1,-1
1,29.50,-9.50,5932.8,-1
1,29.50,82.50,5863.8,-1
1,29.25,128.75,5874.8,-1
1,29.00,128.00,5874.7,-1
1,28.50,118.75,5886.0,-1
1,28.25,84.25,5865.8,-1
1,28.00,88.50,5861.9,-1
1,28.00,92.50,5863.8,-1
1,27.75,90.25,5864.5,-1
1,27.50,87.00,5862.9,-1
1,27.25,-89.75,5918.0,-1
1,27.00,-84.50,5915.8,-1
1,27.00,43.25,5896.4,-1
1,27.00,90.00,5864.5,-1
1,27.00,94.00,5864.5,-1
1,27.00,119.00,5880.9,-1
1,26.75,89.00,5862.8,-1
1,26.75,95.00,5864.6,-1
1,26.00,91.50,5864.8,-1
1,25.75,93.75,5865.8,-1
1,25.75,94.50,5865.6,-1
1,25.50,97.25,5866.6,-1
1,25.50,178.25,5885.8,-1
2,62.50,37.25,5892.9,-1
2,61.75,157.75,5817.8,-1
2,61.50,159.00,5817.5,-1
2,42.00,-118.00,5909.1,-1
2,41.75,-117.25,5910.5,-1
2,41.75,-115.75,5911.9,-1
2,41.25,-113.25,5914.8,-1
2,41.25,-112.50,5915.3,-1
2,41.00,-128.75,5872.7,-1
2,39.75,-109.50,5914.8,-1
2,39.75,-105.25,5912.3,-1
2,39.25,-107.50,5917.6,-1
2,38.75,-111.25,5914.3,-1
2,38.00,-159.50,5911.7,-1
2,37.75,-107.75,5920.5,-1
2,36.75,-107.25,5922.6,-1
2,36.75,-4.00,5944.0,-1
2,36.50,-106.25,5923.3,-1
2,36.50,-105.25,5924.8,-1
2,36.50,69.25,5885.0,-1
2,36.50,86.25,5847.9,-1
2,36.25,-103.75,5925.2,-1
2,35.75,-106.75,5923.3,-1
2,35.75,-105.75,5925.8,-1
2,35.75,-65.25,5946.1,-1
2,35.75,81.00,5866.8,-1
2,35.50,86.25,5846.8,-1
2,35.25,-62.50,5945.6,-1
2,34.25,-102.25,5927.3,-1
2,34.25,90.75,5843.7,-1
2,33.75,-2.75,5952.7,-1
2,33.75,66.75,5905.1,-1
2,33.75,159.50,5930.1,-1
2,33.50,57.25,5922.5,-1
2,33.50,63.50,5917.2,-1
2,33.50,65.75,5910.3,-1
2,33.25,56.25,5922.9,-1
2,33.00,66.75,5905.0,-1
2,32.50,-4.75,5958.4,-1
2,32.50,54.25,5921.9,-1
2,32.50,57.25,5921.3,-1
2,32.50,58.25,5920.7,-1
2,32.50,90.00,5842.8,-1
2,32.50,119.75,5894.7,-1
2,32.25,55.75,5922.5,-1
2,32.00,-3.00,5955.4,-1
2,31.75,-4.75,5957.6,-1
2,31.75,51.50,5924.5,-1
2,31.75,57.00,5920.0,-1
2,31.75,59.50,5920.6,-1
2,31.75,82.75,5845.7,-1
2,31.75,115.75,5896.7,-1
2,31.75,118.25,5896.0,-1
2,31.50,-6.25,5959.9,-1
2,31.50,53.00,5924.0,-1
2,31.50,115.00,5896.7,-1
2,31.25,-7.00,5960.0,-1
2,31.00,-7.75,5960.3,-1
2,31.00,116.25,5896.6,-1
2,30.75,52.75,5928.7,-1
2,30.75,113.75,5896.2,-1
2,30.50,-7.00,5956.2,-1
2,30.50,-4.75,5956.7,-1
2,30.50,55.00,5925.4,-1
2,30.25,-8.00,5957.8,-1
2,30.25,108.50,5886.8,-1
2,30.00,56.00,5921.3,-1
2,30.00,87.75,5843.7,-1
2,29.75,-58.75,5942.3,-1
2,29.75,-44.50,5921.8,-1
2,29.75,59.25,5911.0,-1
2,29.75,86.25,5846.7,-1
2,29.75,129.50,5881.8,-1
2,29.50,61.25,5907.8,-1
2,29.25,43.25,5907.5,-1
2,29.25,60.50,5908.8,-1
2,29.25,126.75,5884.1,-1
2,29.00,47.00,5911.3,-1
2,28.75,-86.25,5902.8,-1
2,28.75,120.75,5889.6,-1
2,28.50,103.25,5870.8,-1
2,28.25,-172.50,5885.4,-1
2,28.25,-88.50,5903.6,-1
2,28.00,87.00,5852.0,-1
2,27.75,90.25,5853.8,-1
2,27.50,43.75,5908.2,-1
2,26.75,89.00,5853.0,-1
2,26.00,-178.00,5889.4,-1
2,25.75,-47.25,5921.3,-1
3,71.00,-28.50,5571.7,-1
3,62.25,38.00,5895.6,-1
3,62.25,157.75,5811.0,-1
3,62.25,158.50,5811.1,-1
3,55.25,169.25,5789.7,-1
3,41.50,-112.50,5928.6,-1
3,41.25,-113.25,5927.8,-1
3,41.25,-111.75,5929.4,-1
3,41.00,-110.50,5928.8,-1
3,40.25,-159.25,5913.3,-1
3,40.25,-5.25,5927.8,-1
3,40.00,-109.00,5932.1,-1
3,39.75,-110.50,5931.3,-1
3,39.75,-108.25,5932.1,-1
3,39.50,-107.50,5932.8,-1
