time,latitude,longitude,z
0,30.00,133.25,5876.3
0,30.00,282.00,5913.8
0,30.00,284.00,5913.9
0,29.75,35.00,5925.0
0,29.75,38.50,5928.7
0,29.75,81.00,5842.0
0,29.75,93.25,5844.2
0,29.75,130.00,5862.1
0,29.75,252.25,5903.1
0,29.75,258.25,5889.0
0,29.50,32.25,5927.6
0,29.50,37.25,5928.4
0,29.50,38.00,5928.6
0,29.50,52.25,5939.8
0,29.50,82.50,5845.1
0,29.50,87.75,5843.4
0,29.50,102.00,5842.3
0,29.50,281.25,5914.1
0,29.25,38.50,5928.7
0,29.25,79.75,5845.6
0,29.25,101.25,5843.1
0,29.25,256.75,5891.8
0,29.25,292.50,5911.7
0,29.00,2.50,5954.3
0,29.00,36.50,5928.5
0,29.00,36.75,5928.5
0,29.00,46.25,5945.5
0,29.00,46.50,5945.5
0,29.00,50.75,5938.3
0,29.00,51.50,5940.4
0,29.00,84.00,5850.0
0,29.00,165.75,5894.9
0,28.75,87.75,5847.6
0,28.75,96.00,5855.8
0,28.75,162.00,5897.6
0,28.75,253.50,5898.8
0,28.75,257.25,5891.0
0,28.50,34.00,5926.9
0,28.50,34.75,5925.6
0,28.50,95.25,5856.2
0,28.50,129.00,5861.2
0,28.50,161.50,5897.6
0,28.50,254.75,5899.1
0,28.50,276.50,5916.5
0,28.50,316.75,5893.7
0,28.50,317.00,5893.7
0,28.25,30.00,5923.9
0,28.25,35.50,5927.6
0,28.25,84.00,5856.0
0,28.25,127.25,5852.8
0,28.25,170.25,5897.4
0,28.25,274.75,5916.3
0,28.25,275.00,5916.3
0,28.00,52.00,5939.6
0,28.00,85.50,5857.3
0,28.00,86.25,5854.2
0,28.00,95.50,5856.1
0,28.00,262.50,5875.9
0,28.00,272.25,5912.1
0,28.00,280.25,5915.6
0,27.75,25.50,5920.0
0,27.75,51.50,5940.0
0,27.75,69.50,5863.5
0,27.75,96.50,5858.9
0,27.75,254.00,5900.2
0,27.75,294.25,5912.5
0,27.50,37.00,5925.5
0,27.50,38.50,5928.2
0,27.50,87.75,5856.5
0,27.50,88.50,5855.2
0,27.50,256.50,5894.6
0,27.50,278.00,5916.4
0,27.25,3.00,5952.1
0,27.25,3.25,5952.1
0,27.25,27.75,5921.3
0,27.25,51.50,5939.9
0,27.25,87.00,5857.6
0,27.25,261.25,5875.4
0,27.00,1.50,5960.9
0,27.00,90.00,5855.7
0,27.00,91.75,5855.2
0,27.00,251.50,5895.9
0,26.75,97.25,5861.6
0,26.75,98.00,5862.6
0,26.75,252.50,5896.7
0,26.75,275.00,5916.5
0,26.50,96.50,5861.0
0,26.50,97.25,5861.6
0,26.50,254.00,5899.3
